"IDpol","OccurDate","Payment","IDclaim","Guarantee"
"30100052.101a",2003-03-31,0,"13671","TPL"
"40100087.100a",2003-03-31,150,"10616","TPL"
"90103806.103a",2003-03-31,664,"10506","TPL"
"90111473.100b",2003-03-31,342,"11236","Windscreen"
"90126000.101a",2003-03-31,1121,"10485","TPL"
"90132188.100a",2003-03-31,1533,"10601","Damage"
"90132708.100a",2003-03-31,1681,"10505","TPL"
"90132820.100a",2003-03-31,0,"10428","Damage"
"90149566.100b",2003-03-31,1884,"10400","TPL"
"90160912.100b",2003-03-31,816,"11031","Windscreen"
"90167768.100a",2003-03-31,375,"11059","Windscreen"
"90187401.100a",2003-03-31,367,"11340","Windscreen"
"30200066.10a",2003-04-01,0,"10446","TPL"
"90010389.101c",2003-04-01,272,"10429","TPL"
"90103621.10a",2003-04-01,1121,"10468","TPL"
"90103716.100b",2003-04-01,85,"10422","Damage"
"90104539.103a",2003-04-01,0,"10500","TPL"
"90109447.101a",2003-04-01,505,"10546","TPL"
"90116481.101a",2003-04-01,19,"10568","TPL"
"90125997.102a",2003-04-01,0,"10643","TPL"
"90130914.100a",2003-04-01,2164,"10470","TPL"
"90134157.101a",2003-04-01,273,"10373","Windscreen"
"90134299.100b",2003-04-01,188,"10615","TPL"
"90148239.100a",2003-04-01,282,"10529","Windscreen"
"90152641.101a",2003-04-01,561,"11117","TPL"
"90154336.100a",2003-04-01,4195,"10432","Damage"
"90156682.102a",2003-04-01,337,"10444","TPL"
"90159678.100b",2003-04-01,265,"11369","Windscreen"
"90159723.100a",2003-04-01,1121,"10502","TPL"
"90162876.100c",2003-04-01,1332,"10648","TPL"
"90185498.100a",2003-04-01,511,"10504","Other"
"90187993.100a",2003-04-01,897,"13579","TPL"
"216.102b",2003-04-02,433,"13052","Other"
"40200973.100b",2003-04-02,3655,"10479","Damage"
"90125979.101b",2003-04-02,897,"11569","TPL"
"90151024.100b",2003-04-02,897,"11883","TPL"
"90168988.100a",2003-04-02,3227,"10324","TPL"
"1003807.101b",2003-04-03,1380,"10417","TPL"
"90127139.102a",2003-04-03,371,"10426","TPL"
"90132086.100a",2003-04-03,6289,"10430","Theft"
"90132463.100a",2003-04-03,261,"11463","Windscreen"
"90152250.101a",2003-04-03,1121,"12764","TPL"
"90157521.100a",2003-04-03,53,"11047","Windscreen"
"90166071.100a",2003-04-03,70,"11359","Windscreen"
"90166320.102a",2003-04-03,0,"10493","Damage"
"90167697.100b",2003-04-03,611,"10671","TPL"
"90169099.100a",2003-04-03,2387,"10637","Damage"
"90170279.100b",2003-04-03,325,"12130","Windscreen"
"90173918.100b",2003-04-03,141,"11046","Windscreen"
"90174165.101a",2003-04-03,603,"10509","TPL"
"90188384.100a",2003-04-03,465,"10597","TPL"
"90189199.100a",2003-04-03,622,"10557","Theft"
"60200199.10a",2003-04-04,174,"10650","TPL"
"90145263.100d",2003-04-04,143,"12655","Windscreen"
"90151164.100d",2003-04-04,152,"10435","TPL"
"90161198.100a",2003-04-04,3467,"10443","TPL"
"90172696.100a",2003-04-04,0,"13737","TPL"
"90186819.100a",2003-04-04,73,"10503","Damage"
"1009204.100a",2003-04-05,897,"10645","TPL"
"50200078.101a",2003-04-05,109,"10587","Windscreen"
"80200761.101a",2003-04-05,53,"11491","Windscreen"
"90103576.10a",2003-04-05,274,"10512","TPL"
"90105206.101a",2003-04-05,146,"10531","Windscreen"
"90111561.101b",2003-04-05,60,"11186","Windscreen"
"90128995.102b",2003-04-05,125,"10649","TPL"
"90129189.101a",2003-04-05,1121,"12935","TPL"
"90146148.100a",2003-04-05,1959,"11741","TPL"
"90146333.100b",2003-04-05,198,"11487","Windscreen"
"90152301.100b",2003-04-05,304,"11358","Windscreen"
"90153708.100b",2003-04-05,2853,"10419","TPL"
"90154229.100b",2003-04-05,587,"11754","TPL"
"90155137.100b",2003-04-05,63,"10704","TPL"
"90155723.100c",2003-04-05,393,"10805","Damage"
"90163058.100a",2003-04-05,225,"10690","TPL"
"90169833.100a",2003-04-05,385,"11286","Windscreen"
"90179959.100a",2003-04-05,1121,"10541","TPL"
"90104009.101a",2003-04-06,918,"10989","Windscreen"
"90117972.102b",2003-04-06,0,"13490","TPL"
"90127496.100a",2003-04-06,1171,"10536","TPL"
"90128109.101a",2003-04-06,1978,"11078","TPL"
"90132027.100a",2003-04-06,1087,"10563","Damage"
"90134478.100a",2003-04-06,278,"10846","Windscreen"
"90148381.100a",2003-04-06,42,"10847","TPL"
"90149459.100a",2003-04-06,169,"11572","Windscreen"
"90154374.100a",2003-04-06,897,"10578","TPL"
"90156048.100a",2003-04-06,53,"11044","Windscreen"
"90157159.100a",2003-04-06,251,"11083","Windscreen"
"90105006.101b",2003-04-07,0,"11285","TPL"
"90111234.10a",2003-04-07,582,"10775","TPL"
"90129663.100b",2003-04-07,1226,"10740","TPL"
"90133058.101a",2003-04-07,422,"10599","TPL"
"90133899.100b",2003-04-07,478,"10665","TPL"
"90139303.101c",2003-04-07,1210,"10641","Theft"
"90141139.100a",2003-04-07,134,"10586","Windscreen"
"90145713.100a",2003-04-07,707,"11043","TPL"
"90145826.100a",2003-04-07,897,"11074","TPL"
"90158802.100b",2003-04-07,896,"10681","TPL"
"90164547.100b",2003-04-07,897,"10870","TPL"
"90168823.101c",2003-04-07,303,"11539","Windscreen"
"90180731.100b",2003-04-07,90,"11157","Windscreen"
"90182439.100a",2003-04-07,0,"10497","TPL"
"40200270.100b",2003-04-08,0,"10882","TPL"
"90123558.101a",2003-04-08,230,"11458","Windscreen"
"90132110.100b",2003-04-08,207,"11655","Windscreen"
"90147703.100a",2003-04-08,398,"11573","Windscreen"
"90156481.100a",2003-04-08,2725,"11628","TPL"
"90158965.101a",2003-04-08,180,"10689","Windscreen"
"90159226.100a",2003-04-08,2452,"10738","TPL"
"90165945.100a",2003-04-08,70,"10744","Other"
"90166862.100c",2003-04-08,611,"10673","TPL"
"90170530.100a",2003-04-08,190,"10729","TPL"
"90182618.100a",2003-04-08,1121,"13733","TPL"
"90187757.100a",2003-04-08,328,"10776","Damage"
"90190961.100a",2003-04-08,1330,"11295","TPL"
"90194392.100b",2003-04-08,8,"10850","TPL"
"1002714.100b",2003-04-09,210,"10851","TPL"
"70201421.100b",2003-04-09,39,"10746","TPL"
"90103635.10a",2003-04-09,1121,"10662","TPL"
"90105481.10a",2003-04-09,192,"10852","Windscreen"
"90113364.101b",2003-04-09,897,"11247","TPL"
"90113968.101b",2003-04-09,1121,"10893","TPL"
"90134361.100a",2003-04-09,252,"10672","TPL"
"90144799.101b",2003-04-09,897,"11479","TPL"
"90146075.101b",2003-04-09,1834,"10801","TPL"
"90155205.100c",2003-04-09,208,"10797","TPL"
"90159067.101a",2003-04-09,4203,"10767","TPL"
"90164493.100a",2003-04-09,746,"10861","TPL"
"90167947.100b",2003-04-09,262,"11577","Windscreen"
"90172009.100a",2003-04-09,497,"10792","TPL"
"90178059.100a",2003-04-09,816,"10791","Damage"
"90185347.100a",2003-04-09,1121,"10613","TPL"
"90188071.100a",2003-04-09,0,"11342","Windscreen"
"90194583.101a",2003-04-09,3131,"10986","TPL"
"40100295.101a",2003-04-10,468,"10838","TPL"
"90104617.101b",2003-04-10,294,"11404","Windscreen"
"90111675.101a",2003-04-10,0,"10659","Other"
"90128221.101a",2003-04-10,420,"11398","Windscreen"
"90170653.101a",2003-04-10,265,"11292","Windscreen"
"90130863.100c",2003-04-11,928,"10806","TPL"
"90134281.101a",2003-04-11,897,"10894","TPL"
"90148926.100b",2003-04-11,1474,"11303","Theft"
"90151851.101a",2003-04-11,65,"10715","TPL"
"90152261.101a",2003-04-11,1258,"10884","TPL"
"90153226.103a",2003-04-11,0,"11041","TPL"
"90155710.100b",2003-04-11,323,"12195","Theft"
"90167030.100b",2003-04-11,624,"10696","TPL"
"90186031.100a",2003-04-11,4296,"10670","Damage"
"90186177.100c",2003-04-11,17193,"10878","Damage"
"60200225.100a",2003-04-12,218,"10876","TPL"
"90103664.100a",2003-04-12,1121,"11361","TPL"
"90106336.101a",2003-04-12,353,"13610","Other"
"90108065.102c",2003-04-12,897,"11082","TPL"
"90108760.10a",2003-04-12,3026,"10674","TPL"
"90112034.102b",2003-04-12,89,"10708","TPL"
"90119178.101a",2003-04-12,107,"12495","Windscreen"
"90119253.101a",2003-04-12,148,"12632","Windscreen"
"90125552.101b",2003-04-12,0,"12600","TPL"
"90127524.101a",2003-04-12,6056,"11034","TPL"
"90128590.101a",2003-04-12,3599,"10658","TPL"
"90131710.100a",2003-04-12,2500,"10821","TPL"
"90139796.100b",2003-04-12,5103,"10772","TPL"
"90144488.100b",2003-04-12,1415,"11161","TPL"
"90149284.100a",2003-04-12,5324,"11762","TPL"
"90152203.101a",2003-04-12,52,"11644","Windscreen"
"90152230.100a",2003-04-12,2161,"10777","TPL"
"90168875.101a",2003-04-12,3538,"10833","Theft"
"90168961.100a",2003-04-12,897,"13636","TPL"
"90181887.100a",2003-04-12,481,"10818","TPL"
"50200114.10a",2003-04-13,1121,"11380","TPL"
"90104231.101a",2003-04-13,167,"11071","TPL"
"90104493.101a",2003-04-13,1093,"10949","TPL"
"90108435.101a",2003-04-13,1237,"10804","TPL"
"90114364.101a",2003-04-13,0,"13641","TPL"
"90119656.102a",2003-04-13,446,"11327","TPL"
"90129189.101a",2003-04-13,1121,"10727","TPL"
"90134916.100a",2003-04-13,2843,"11114","TPL"
"90141550.100a",2003-04-13,306,"10898","TPL"
"90145080.100b",2003-04-13,438,"10872","Damage"
"90145208.101b",2003-04-13,631,"11294","TPL"
"90148168.100a",2003-04-13,88,"12831","Windscreen"
"90149017.100a",2003-04-13,143,"11121","Windscreen"
"90150958.100a",2003-04-13,347,"11860","TPL"
"90150972.100a",2003-04-13,412,"10874","TPL"
"90151973.100a",2003-04-13,600,"10824","TPL"
"90162760.100a",2003-04-13,525,"10803","Other"
"90167664.100a",2003-04-13,0,"11252","TPL"
"90169902.100a",2003-04-13,84,"10938","Windscreen"
"90170392.100a",2003-04-13,721,"10785","TPL"
"90182214.100a",2003-04-13,29,"11418","TPL"
"90182373.100a",2003-04-13,897,"11062","TPL"
"90184848.100a",2003-04-13,147,"12219","Windscreen"
"90193780.100a",2003-04-13,527,"10809","TPL"
"90107155.101a",2003-04-14,525,"11477","Other"
"90109386.101a",2003-04-14,1226,"10920","TPL"
"90120169.101a",2003-04-14,216,"10827","Windscreen"
"90126475.101a",2003-04-14,211,"11464","Windscreen"
"90128256.101a",2003-04-14,608,"10948","TPL"
"90134359.101a",2003-04-14,2552,"10871","TPL"
"90149400.100a",2003-04-14,428,"11266","TPL"
"90152942.100a",2003-04-14,1582,"11086","Theft"
"90154039.100a",2003-04-14,765,"12564","Windscreen"
"90156699.100a",2003-04-14,2207,"11090","TPL"
"90165849.100a",2003-04-14,1822,"13495","TPL"
"90168875.100a",2003-04-14,228,"10890","TPL"
"90175845.105b",2003-04-14,83,"11094","Windscreen"
"90194416.101a",2003-04-14,266,"11116","Windscreen"
"40200104.101a",2003-04-15,525,"10966","Other"
"80100061.10a",2003-04-15,261,"12072","Windscreen"
"90104722.101a",2003-04-15,109,"11430","TPL"
"90105153.101b",2003-04-15,43,"11566","Windscreen"
"90114452.101b",2003-04-15,1798,"11307","TPL"
"90116851.101a",2003-04-15,3179,"10796","TPL"
"90119190.102a",2003-04-15,204,"13745","Windscreen"
"90128179.101a",2003-04-15,209,"11581","Windscreen"
"90134089.100a",2003-04-15,0,"10859","TPL"
"90137754.100a",2003-04-15,14552,"11095","Damage"
"90149567.100a",2003-04-15,897,"11355","TPL"
"90149868.100a",2003-04-15,213,"11257","Windscreen"
"90159002.100a",2003-04-15,415,"11254","TPL"
"90159993.100a",2003-04-15,1793,"10990","Theft"
"90166938.100a",2003-04-15,717,"10944","Damage"
"90169138.100a",2003-04-15,82,"10980","TPL"
"90178081.100a",2003-04-15,502,"11336","Windscreen"
"70100150.100a",2003-04-16,109,"11199","Windscreen"
"90109099.101b",2003-04-16,169,"11587","Windscreen"
"90113381.101a",2003-04-16,262,"11408","Windscreen"
"90113661.101a",2003-04-16,312,"11202","TPL"
"90131671.101a",2003-04-16,682,"11075","Theft"
"90133326.100a",2003-04-16,667,"10968","TPL"
"90133930.100c",2003-04-16,1082,"11065","TPL"
"90146643.101a",2003-04-16,897,"11111","TPL"
"90148363.100a",2003-04-16,897,"11092","TPL"
"90154758.100a",2003-04-16,208,"11313","TPL"
"90155370.100a",2003-04-16,978,"11201","TPL"
"90157287.100a",2003-04-16,2421,"10971","TPL"
"90157327.100a",2003-04-16,897,"10970","TPL"
"90160869.101a",2003-04-16,91,"10933","TPL"
"90167258.100a",2003-04-16,400,"11951","Windscreen"
"90182294.100b",2003-04-16,1151,"10991","TPL"
"90186162.100a",2003-04-16,1121,"11220","TPL"
"90186213.100a",2003-04-16,276,"11221","Windscreen"
"90134109.101a",2003-04-17,327,"11206","TPL"
"90156007.101a",2003-04-17,4904,"10922","TPL"
"90162725.101b",2003-04-17,57,"11503","Windscreen"
"90169094.100a",2003-04-17,584,"11019","Theft"
"90183819.100a",2003-04-17,336,"11516","TPL"
"90187125.100a",2003-04-17,123,"11648","Windscreen"
"90110366.10a",2003-04-18,0,"11301","TPL"
"90166072.100b",2003-04-18,897,"13620","TPL"
"90178103.101a",2003-04-18,712,"11368","TPL"
"90104205.10a",2003-04-19,2060,"11377","TPL"
"90105026.101a",2003-04-19,316,"11602","Windscreen"
"90109083.101a",2003-04-19,351,"11179","Other"
"90113045.101b",2003-04-19,7705,"10951","TPL"
"90146475.100a",2003-04-19,2452,"11093","TPL"
"90147045.100b",2003-04-19,101,"11163","Damage"
"90148145.101c",2003-04-19,264,"11940","Windscreen"
"90153169.103a",2003-04-19,2773,"10978","Damage"
"90167845.100a",2003-04-19,244,"11907","Windscreen"
"90181454.100a",2003-04-19,870,"10997","TPL"
"90184864.103b",2003-04-19,306,"12211","Windscreen"
"90194801.100a",2003-04-19,263,"12001","Windscreen"
"80201166.101a",2003-04-20,77,"11934","Windscreen"
"90101437.101b",2003-04-20,1786,"11200","TPL"
"90104079.103a",2003-04-20,2452,"11362","TPL"
"90112582.101b",2003-04-20,340,"11319","Windscreen"
"90125574.101a",2003-04-20,638,"11036","Theft"
"90130931.100c",2003-04-20,683,"11314","Windscreen"
"90139324.100a",2003-04-20,63,"11242","TPL"
"90145061.100a",2003-04-20,173,"11468","Windscreen"
"90148916.101a",2003-04-20,1807,"11605","Theft"
"90152911.100a",2003-04-20,809,"11195","Theft"
"90160009.101a",2003-04-20,897,"11541","TPL"
"90165000.100a",2003-04-20,232,"11724","Windscreen"
"90182278.100c",2003-04-20,787,"11634","TPL"
"90187929.100b",2003-04-20,86,"11299","TPL"
"90191953.101a",2003-04-20,296,"10983","Windscreen"
"90193310.100b",2003-04-20,101140,"11272","TPL"
"10100142.101a",2003-04-21,282,"11583","Damage"
"90124579.101b",2003-04-21,290,"11212","TPL"
"90124986.101c",2003-04-21,550,"11677","TPL"
"90131596.100c",2003-04-21,0,"11296","TPL"
"90133029.100a",2003-04-21,1664,"11287","Damage"
"90146514.101b",2003-04-21,98,"11318","TPL"
"90149425.100a",2003-04-21,45,"11187","TPL"
"90154025.100a",2003-04-21,19562,"11275","TPL"
"90156666.100b",2003-04-21,231,"11635","Windscreen"
"90160446.100a",2003-04-21,83,"11755","Windscreen"
"90168689.100a",2003-04-21,505,"11775","Windscreen"
"90174015.100a",2003-04-21,339,"11394","Windscreen"
"90180313.101a",2003-04-21,294,"11751","Windscreen"
"1001688.100a",2003-04-22,134,"11554","Windscreen"
"20200005.100c",2003-04-22,4021,"10984","TPL"
"40200078.101a",2003-04-22,0,"11571","TPL"
"90105413.100a",2003-04-22,1798,"11357","TPL"
"90108074.101a",2003-04-22,945,"11490","TPL"
"90111141.101a",2003-04-22,411,"12098","TPL"
"90124455.101b",2003-04-22,1019,"11767","Damage"
"90131694.100a",2003-04-22,0,"11268","Theft"
"90132237.100b",2003-04-22,0,"11626","TPL"
"90134109.101c",2003-04-22,340,"11753","Windscreen"
"90152170.100a",2003-04-22,380,"11599","Windscreen"
"90153496.101a",2003-04-22,16824,"11671","TPL"
"90153990.100a",2003-04-22,197,"11756","Windscreen"
"90155710.100b",2003-04-22,102,"12430","Windscreen"
"90156494.100a",2003-04-22,1121,"11949","TPL"
"90166830.100b",2003-04-22,422,"11306","Windscreen"
"90169139.100a",2003-04-22,525,"12227","Other"
"90172928.100a",2003-04-22,254,"11278","TPL"
"90182408.100a",2003-04-22,525,"11274","Other"
"90184101.100a",2003-04-22,380,"11504","Windscreen"
"90192851.101a",2003-04-22,708,"11469","TPL"
"1003134.100a",2003-04-23,392,"11412","Windscreen"
"1009682.100b",2003-04-23,153,"12074","Windscreen"
"80100177.101c",2003-04-23,3861,"11564","TPL"
"90117966.100a",2003-04-23,562,"11330","TPL"
"90127278.101a",2003-04-23,245,"11310","Windscreen"
"90127502.101a",2003-04-23,305,"11334","Windscreen"
"90139544.100c",2003-04-23,1332,"11460","TPL"
"90139544.100c",2003-04-23,9440,"11660","Damage"
"90144679.100a",2003-04-23,148,"11838","Windscreen"
"90144783.100a",2003-04-23,123,"12013","TPL"
"90147883.100a",2003-04-23,387,"11425","Damage"
"90151285.100a",2003-04-23,1681,"11432","Damage"
"1009295.100b",2003-04-24,793,"11378","TPL"
"50200013.100b",2003-04-24,232,"11388","Windscreen"
"90108093.101a",2003-04-24,423,"11614","Windscreen"
"90148091.100a",2003-04-24,1212,"11840","Theft"
"90148928.100a",2003-04-24,593,"11765","TPL"
"90152418.100a",2003-04-24,261,"12027","Windscreen"
"90155918.102a",2003-04-24,897,"11622","TPL"
"90156475.100a",2003-04-24,1664,"11988","Theft"
"90158352.101b",2003-04-24,177,"11601","Windscreen"
"90165335.100b",2003-04-24,8049,"11499","Damage"
"90167917.100a",2003-04-24,1664,"11467","Damage"
"90172325.100a",2003-04-24,2732,"11233","Theft"
"90173923.101a",2003-04-24,777,"11645","TPL"
"90181331.100a",2003-04-24,0,"11715","TPL"
"90185767.100b",2003-04-24,2272,"11529","TPL"
"90104532.101a",2003-04-25,2607,"11289","Damage"
"90113938.101a",2003-04-25,1062,"11882","TPL"
"90116069.102b",2003-04-25,0,"11482","TPL"
"90130971.100a",2003-04-25,449,"11291","TPL"
"90150972.100a",2003-04-25,351,"11149","TPL"
"90152573.100a",2003-04-25,897,"11768","TPL"
"90157999.100a",2003-04-25,1483,"11815","Theft"
"90174155.100a",2003-04-25,725,"11595","Damage"
"90178902.101a",2003-04-25,52,"11561","TPL"
"90178903.100a",2003-04-25,2672,"11691","TPL"
"50200114.101a",2003-04-26,149,"11791","Windscreen"
"90104507.101b",2003-04-26,6597,"11556","TPL"
"90105750.10a",2003-04-26,841,"11405","Damage"
"90106347.100a",2003-04-26,1327,"11543","TPL"
"90113748.102a",2003-04-26,0,"13216","TPL"
"90114038.100e",2003-04-26,414,"11352","Windscreen"
"90147790.100a",2003-04-26,1121,"11794","TPL"
"90148822.100b",2003-04-26,0,"11481","TPL"
"90149545.100a",2003-04-26,897,"11943","TPL"
"90149973.100b",2003-04-26,23,"11770","TPL"
"90151353.103a",2003-04-26,23,"11739","TPL"
"90155205.102b",2003-04-26,367,"12260","Windscreen"
"90159322.100a",2003-04-26,185,"12120","Windscreen"
"90159632.100b",2003-04-26,98,"11837","Windscreen"
"90168874.103a",2003-04-26,758,"11406","Windscreen"
"90169076.100a",2003-04-26,1646,"11524","Damage"
"90174042.100a",2003-04-26,1257,"11774","TPL"
"90178064.100a",2003-04-26,243,"12153","Windscreen"
"90180824.100a",2003-04-26,736,"12647","Theft"
"90185068.100a",2003-04-26,14,"11992","TPL"
"1003290.100b",2003-04-27,262,"12433","Windscreen"
"70200385.102b",2003-04-27,3432,"11607","TPL"
"90101833.10b",2003-04-27,400,"11699","Theft"
"90124464.101b",2003-04-27,566,"12061","Windscreen"
"90128809.101a",2003-04-27,308,"11795","Windscreen"
"90133054.101b",2003-04-27,408,"12614","Theft"
"90135262.100b",2003-04-27,368,"12067","Windscreen"
"90138522.100a",2003-04-27,0,"11856","TPL"
"90139012.100a",2003-04-27,164,"13248","Windscreen"
"90145903.100a",2003-04-27,291,"11733","Windscreen"
"90151902.100a",2003-04-27,447,"11720","TPL"
"90170089.101a",2003-04-27,4368,"11530","TPL"
"90181499.100a",2003-04-27,89,"11507","Windscreen"
"90183776.100a",2003-04-27,0,"11702","Damage"
"90194843.100a",2003-04-27,766,"11851","TPL"
"70200824.101b",2003-04-28,276,"12134","Windscreen"
"90109081.101a",2003-04-28,175,"12066","Windscreen"
"90109580.101a",2003-04-28,2355,"11675","Theft"
"90113837.101a",2003-04-28,1121,"11964","TPL"
"90131460.100a",2003-04-28,41,"11786","TPL"
"90134645.100a",2003-04-28,1647,"12271","Other"
"90144724.101b",2003-04-28,716,"12008","TPL"
"90145279.100c",2003-04-28,2004,"11735","TPL"
"90145697.100a",2003-04-28,2149,"11525","TPL"
"90145712.100a",2003-04-28,165,"12285","Windscreen"
"90145950.100b",2003-04-28,1402,"11670","Other"
"90149484.100a",2003-04-28,897,"12200","TPL"
"90151435.100a",2003-04-28,310,"11570","TPL"
"90151803.100a",2003-04-28,337,"12025","Windscreen"
"90153058.100a",2003-04-28,2758,"11732","TPL"
"90154574.102b",2003-04-28,749,"12266","TPL"
"90157339.100a",2003-04-28,937,"12350","TPL"
"90160827.100b",2003-04-28,323,"11812","Windscreen"
"90169945.100b",2003-04-28,319,"12129","Windscreen"
"70200358.100a",2003-04-29,669,"11711","TPL"
"90106376.101a",2003-04-29,76,"12116","Windscreen"
"90110856.101a",2003-04-29,897,"12052","TPL"
"90111164.101a",2003-04-29,77,"12633","Windscreen"
"90126359.102a",2003-04-29,1163,"11969","TPL"
"90126803.101a",2003-04-29,147,"12170","Windscreen"
"90127369.101a",2003-04-29,351,"11811","Windscreen"
"90128681.101a",2003-04-29,274,"11742","Windscreen"
"90147671.100a",2003-04-29,241,"11729","Windscreen"
"90148035.100a",2003-04-29,273,"12152","Windscreen"
"90153425.100b",2003-04-29,176,"11700","TPL"
"90162995.100a",2003-04-29,75,"12135","Windscreen"
"90166043.101a",2003-04-29,504,"11823","Windscreen"
"90170184.100a",2003-04-29,0,"11929","TPL"
"90172500.100b",2003-04-29,259,"12138","Windscreen"
"90176055.100a",2003-04-29,124,"11664","Other"
"90179682.100a",2003-04-29,218,"12436","Windscreen"
"20100049.100b",2003-04-30,8134,"11771","Theft"
"70200393.101b",2003-04-30,1121,"13726","TPL"
"80100030.10a",2003-04-30,589,"12339","TPL"
"90103693.101a",2003-04-30,897,"11974","TPL"
"90103805.101a",2003-04-30,1121,"12106","TPL"
"90130889.100a",2003-04-30,299,"12783","Damage"
"90130889.100a",2003-04-30,1604,"13570","Damage"
"90134473.100a",2003-04-30,1153,"12231","Damage"
"90134818.101a",2003-04-30,1121,"11942","TPL"
"90135271.100a",2003-04-30,107,"12272","Windscreen"
"90141252.100a",2003-04-30,72,"11853","TPL"
"90144850.100a",2003-04-30,28,"11865","Damage"
"90145830.100a",2003-04-30,11501,"11760","TPL"
"90146428.101a",2003-04-30,203,"11798","Windscreen"
"90159131.100b",2003-04-30,244,"12181","Windscreen"
"90162713.100a",2003-04-30,95,"11630","Windscreen"
"90167836.100a",2003-04-30,897,"12059","TPL"
"90168783.100b",2003-04-30,0,"12157","TPL"
"90172769.100b",2003-04-30,4011,"11676","TPL"
"90182504.100a",2003-04-30,0,"11983","TPL"
"90188360.100b",2003-04-30,0,"12040","TPL"
"90190036.101a",2003-04-30,439,"11945","Windscreen"
"1002166.100a",2003-05-01,1717,"12222","TPL"
"30100061.101a",2003-05-01,115,"11880","TPL"
"90111498.100a",2003-05-01,227,"11862","TPL"
"90120756.101a",2003-05-01,615,"11980","Theft"
"90131345.100a",2003-05-01,496,"12635","Windscreen"
"90134473.100a",2003-05-01,31,"12233","Theft"
"90145296.100a",2003-05-01,2659,"11870","TPL"
"90145756.100a",2003-05-01,63,"12113","TPL"
"90146429.100a",2003-05-01,672,"11861","TPL"
"90151507.100a",2003-05-01,92,"12104","TPL"
"90151537.100a",2003-05-01,181,"12652","Windscreen"
"90154218.100a",2003-05-01,1083,"11781","Damage"
"90155933.101a",2003-05-01,3320,"12105","TPL"
"90155958.101a",2003-05-01,1996,"12107","TPL"
"90160899.101b",2003-05-01,324,"11891","Windscreen"
"90172021.100a",2003-05-01,47,"11877","TPL"
"90173944.100b",2003-05-01,1213,"11734","Theft"
"90174372.100a",2003-05-01,897,"11816","TPL"
"450.10b",2003-05-02,1121,"13715","TPL"
"90110913.101a",2003-05-02,564,"13198","TPL"
"90129379.101a",2003-05-02,474,"11976","TPL"
"90131993.100b",2003-05-02,799,"13578","Damage"
"90132058.104a",2003-05-02,0,"12206","TPL"
"90134299.100b",2003-05-02,389,"12006","TPL"
"90153132.100a",2003-05-02,1766,"12041","Theft"
"90154514.100b",2003-05-02,450,"12876","Windscreen"
"90155892.101a",2003-05-02,3947,"11956","TPL"
"90156713.100a",2003-05-02,1427,"11921","TPL"
"90171097.100b",2003-05-02,999,"11859","TPL"
"90173860.100a",2003-05-02,724,"11836","TPL"
"90175992.100b",2003-05-02,438,"12047","TPL"
"90182631.100b",2003-05-02,3328,"11797","TPL"
"90189970.100a",2003-05-02,368,"11950","Windscreen"
"1001584.100a",2003-05-03,0,"11821","TPL"
"1009398.100a",2003-05-03,102,"11939","Damage"
"20100120.10a",2003-05-03,560,"11727","Theft"
"60200217.10a",2003-05-03,85,"12353","Damage"
"90104512.100b",2003-05-03,1830,"11994","TPL"
"90111490.101a",2003-05-03,125,"11857","TPL"
"90120749.100b",2003-05-03,64,"12338","TPL"
"90132301.100a",2003-05-03,672,"11871","TPL"
"90132352.101a",2003-05-03,284,"12426","Windscreen"
"90133826.100b",2003-05-03,277,"12057","Windscreen"
"90140077.101a",2003-05-03,134,"11936","TPL"
"90146724.100a",2003-05-03,1843,"11744","TPL"
"90160897.100a",2003-05-03,403,"13058","Windscreen"
"90163127.100a",2003-05-03,268,"12424","Windscreen"
"90170219.100a",2003-05-03,75,"12443","Windscreen"
"90176391.100b",2003-05-03,414,"12895","Windscreen"
"20100389.10a",2003-05-04,301,"11819","Windscreen"
"50200824.101a",2003-05-04,327,"12640","Windscreen"
"90111512.101a",2003-05-04,273,"12439","Windscreen"
"90129264.101a",2003-05-04,258,"12294","Windscreen"
"90145055.100a",2003-05-04,0,"12262","Damage"
"90145264.101c",2003-05-04,897,"12256","TPL"
"90145691.102b",2003-05-04,293,"12290","Windscreen"
"90146938.100a",2003-05-04,1121,"12323","TPL"
"90147700.100a",2003-05-04,481,"13538","Windscreen"
"90156109.100a",2003-05-04,108,"12028","Windscreen"
"90156687.101a",2003-05-04,0,"12349","TPL"
"90165730.100a",2003-05-04,643,"11981","Theft"
"90167917.100a",2003-05-04,243,"13586","Windscreen"
"90172383.100a",2003-05-04,83,"13507","Damage"
"90179449.100a",2003-05-04,1441,"12097","TPL"
"90182114.100a",2003-05-04,107,"12267","Windscreen"
"90184006.100a",2003-05-04,0,"12879","Damage"
"1003290.100b",2003-05-05,201,"12010","Damage"
"90103503.10a",2003-05-05,1860,"12234","TPL"
"90118747.101b",2003-05-05,443,"12226","TPL"
"90127308.101a",2003-05-05,342,"12160","Windscreen"
"90128763.101a",2003-05-05,2704,"12112","TPL"
"90129672.101a",2003-05-05,18,"12110","TPL"
"90132843.101a",2003-05-05,198,"13342","Windscreen"
"90138155.101c",2003-05-05,441,"12641","Windscreen"
"90139526.100a",2003-05-05,424,"12434","Theft"
"90145983.100a",2003-05-05,4203,"12151","TPL"
"90146458.102a",2003-05-05,1036,"12142","TPL"
"90155723.100b",2003-05-05,610,"11987","TPL"
